Grid Demand [W],PV Gen [W],Day-ahead Price [EUR/MWh]
-6524.875,66.0125,87.0
-10604.291666666666,0.0,79.5
-13947.4375,0.0,72.4
-13553.333333333334,0.0,59.06
-14085.5,0.0,54.24
-14061.875,0.0,53.51
-13962.875,0.0,49.06
-14444.5,0.0,49.09
-13929.125,0.0,49.1
-13347.041666666666,1276.65,49.08
-11235.0625,3198.4333333333334,49.15
-3244.395833333333,11991.170833333334,53.58
2471.0,29280.670833333334,52.41
6198.229166666667,34625.22083333333,49.23
6306.854166666667,31987.7625,50.3
11964.625,31557.608333333334,49.9
24391.64583333333,40955.09583333333,48.56
23095.08333333333,39378.45416666667,46.74
21033.25,37425.53333333333,47.85
7924.0,21760.9375,49.65
926.6875,10816.479166666666,67.17
-313.8125,9179.966666666667,80.4
-326.4583333333333,7391.541666666667,87.77
-5042.1875,1232.3333333333333,91.46
-10137.854166666666,1.8125,91.85
-12643.979166666666,0.0,91.86
-13476.6875,0.0,85.93
-13060.208333333334,0.0,75.4
-13418.666666666666,0.0,72.6
-13562.666666666666,0.0,69.94
-13762.583333333334,0.0,69.07
-13649.4375,0.0,72.44
-13730.666666666666,0.0,76.44
-12831.604166666666,795.025,90.54
-12316.5625,4408.233333333334,99.96
-12913.166666666666,7551.933333333333,102.0
-865.0833333333334,27219.716666666667,99.06
2449.0625,33586.0625,91.68
3794.875,36746.71666666667,89.98
7220.543933054393,41903.22175732218,86.83
12167.0,43517.94583333333,82.4
-1000.2708333333334,13427.475,81.99
2713.458333333333,37628.95,83.43
-341.0833333333333,23151.00833333333,83.41
947.625,24611.25833333333,91.73
-2570.145833333333,2989.025,103.41
-8395.916666666666,4609.070833333333,109.0
-14235.1875,3563.0416666666665,109.0
-18404.375,11.208333333333334,104.82
-17684.520833333332,0.0,95.0
-14872.583333333334,0.0,83.94
-14717.3125,0.0,80.08
-14473.07531380753,0.0,75.3
-14327.625,0.0,72.55
-14368.041666666666,0.0,72.17
-15099.645833333334,0.0,71.02
-13971.270833333334,0.0,76.02
-12522.479166666666,1522.6708333333331,91.15
-7473.104166666667,9066.304166666669,99.92
-6028.535564853557,12936.715481171548,100.98
-1884.3125,21402.516666666663,89.27
1698.125,34709.691666666666,84.08
2908.2916666666665,36241.775,83.67
31.736401673640167,21588.2050209205,83.0
41.770833333333336,27196.975,79.43
3346.333333333333,34708.96666666667,78.0
760.5625,24930.45833333333,79.8
777.8125,20953.5875,82.86
-862.1458333333334,13111.8375,92.75
-2152.6666666666665,11022.445833333331,101.44
-8330.520833333334,4791.183333333333,111.94
-16788.333333333332,1232.2208333333333,107.79
-17655.020833333332,11.3875,104.74
-17431.041666666668,0.0,93.99
-17512.875,0.0,81.42
-16729.916666666668,0.0,82.59
-14201.854166666666,0.0,75.41
-15019.645833333334,0.0,71.1
-15323.916666666666,0.0,74.04
-14822.9375,0.0,74.41
-14472.604166666666,0.0,76.81
-12978.25,1698.5541666666666,94.92
-11933.895833333334,4037.5625,109.29
-16485.0,6505.221757322176,111.86
-15083.729166666666,10094.291666666666,94.95
-8569.416666666666,17546.458333333332,85.08
-8874.89539748954,18398.200836820084,80.01
2349.9166666666665,39311.0625,71.03
4615.458333333333,42596.97083333333,60.79
1678.6458333333333,30367.7,58.62
-4410.291666666667,6816.754166666667,56.36
-962.0625,26017.4125,54.6
-1551.9583333333333,19245.979166666668,64.14
-7261.416666666667,8765.191666666668,81.29
-11796.666666666666,5856.841666666666,91.13
-15971.916666666666,889.15,94.93
-17635.645833333332,7.741666666666666,88.26
-17727.458333333332,0.0,83.02
-18097.791666666668,0.0,71.49
-16918.368644067796,0.0,55.58
-16313.933054393305,0.0,50.1
-13415.708333333334,0.0,45.98
-13274.395833333334,0.0,43.43
-13448.5625,0.0,44.71
-13528.5625,0.0,50.85
-13510.458333333334,412.51666666666665,59.67
-12941.729166666666,3605.675,69.23
-14206.833333333334,9424.85,65.94
-3638.033472803347,22108.60251046025,48.59
3297.1041666666665,40152.04583333333,9.83
4978.645833333333,37436.316666666666,0.07
7395.854166666667,36253.30416666667,0.0
10463.333333333334,39331.19583333333,-4.95
11422.645833333334,42054.36666666667,-8.86
8418.604166666666,34551.3375,-1.09
11037.6875,35175.4,0.09
7606.520833333333,27825.158333333333,44.69
1032.1041666666667,17757.095833333333,74.98
-591.125,8700.475,91.35
-1577.8125,2255.1666666666665,94.26
-5308.875,4.208333333333333,95.98
-8618.604166666666,0.0,92.95
-11453.895833333334,0.0,82.95
-11516.854166666666,0.0,62.13
-12288.0625,0.0,52.94
-11503.979166666666,0.0,50.07
-11615.041666666666,0.0,46.86
-11954.854166666666,0.0,46.21
-10962.479166666666,0.0,56.89
-10196.041666666666,1608.9916666666666,72.1
-9448.229166666666,5952.908333333334,78.73
-3254.583333333333,15044.291666666666,80.14
-253.95833333333331,26429.595833333333,63.11
2217.6666666666665,35801.4,56.18
6284.1875,41250.816666666666,50.31
13993.208333333334,43591.65833333333,48.7
19753.729166666668,41573.575,43.48
21323.9375,42845.57083333333,40.27
17331.645833333332,39336.40416666667,43.5
5603.541666666667,22708.57083333333,46.86
4168.138075313807,22700.64853556485,63.81
860.625,15088.7125,75.26
-542.1666666666666,5229.754166666667,106.0
-1138.75,2302.670833333333,116.17
-6918.479166666667,0.0,101.0
-9929.875,0.0,85.0
-13311.25,0.0,69.62
-13615.479166666666,0.0,59.0
-13129.125,0.0,53.63
-12309.0625,0.0,41.76
-13254.520833333334,0.0,38.95
-12205.958333333334,0.0,35.92
-12174.083333333334,0.0,33.37
-12277.354166666666,1154.6708333333331,40.43
-6867.25,5899.858333333334,40.57
-1019.5,14975.9625,36.21
984.1041666666666,26297.3125,14.76
5180.0625,31935.604166666668,0.01
11147.354166666666,34615.67916666667,-0.07
22668.70833333333,40146.3,-9.94
22903.83333333333,37791.77916666667,-20.03
19697.83333333333,33775.120833333334,-20.06
21865.25,36294.80833333333,-18.96
14618.854166666666,29575.366666666665,-1.38
2424.958333333333,16168.908333333333,9.44
690.375,12125.766666666666,50.61
-155.6875,6404.125,65.53
-1192.6458333333333,1409.7791666666667,69.93
-4077.3333333333335,0.0,70.91
-8525.895833333334,0.0,65.56
-11167.5625,0.0,59.6
-12659.333333333334,0.0,52.82
-13092.083333333334,0.0,49.33
-12494.083333333334,0.0,49.42
-12686.125,0.0,49.79
-12663.854166666666,0.0,50.0
-12006.333333333334,0.0,52.35
-11837.895833333334,584.1541666666667,50.02
-11553.166666666666,1458.9166666666667,56.89
-6877.6875,5553.733333333334,57.79
-770.3125,14720.704166666666,57.76
136.89583333333334,17587.145833333332,59.16
165.41666666666666,19490.304166666665,59.25
3228.75,27016.720833333333,60.1
11824.6875,37097.1625,56.03
7217.395833333333,20507.033333333333,50.06
4055.0416666666665,18347.45833333333,48.94
