"Time","EDM: Balance"
"2021-09-21 02:00:00","-8.09 kW"
"2021-09-21 03:00:00","-8.45 kW"
"2021-09-21 04:00:00","-8.07 kW"
"2021-09-21 05:00:00","-9.07 kW"
"2021-09-21 06:00:00","-8.24 kW"
"2021-09-21 07:00:00","-9.59 kW"
"2021-09-21 08:00:00","-10.3 kW"
"2021-09-21 09:00:00","-8.17 kW"
"2021-09-21 10:00:00","-3.31 kW"
"2021-09-21 11:00:00","1.80 kW"
"2021-09-21 12:00:00","3.32 kW"
"2021-09-21 13:00:00","5.87 kW"
"2021-09-21 14:00:00","8.71 kW"
"2021-09-21 15:00:00","12.0 kW"
"2021-09-21 16:00:00","6.67 kW"
"2021-09-21 17:00:00","1.29 kW"
"2021-09-21 18:00:00","-24.3 W"
"2021-09-21 19:00:00","-48.6 W"
"2021-09-21 20:00:00","-355 W"
"2021-09-21 21:00:00","-3.38 kW"
"2021-09-21 22:00:00","-4.37 kW"
"2021-09-21 23:00:00","-8.44 kW"
"2021-09-22 00:00:00","-8.28 kW"
"2021-09-22 01:00:00","-7.91 kW"
"2021-09-22 02:00:00","-8.51 kW"
"2021-09-22 03:00:00","-8.63 kW"
"2021-09-22 04:00:00","-8.66 kW"
"2021-09-22 05:00:00","-7.93 kW"
"2021-09-22 06:00:00","-9.41 kW"
"2021-09-22 07:00:00","-10.5 kW"
"2021-09-22 08:00:00","-8.34 kW"
"2021-09-22 09:00:00","-5.77 kW"
"2021-09-22 10:00:00","218 W"
"2021-09-22 11:00:00","1.72 kW"
"2021-09-22 12:00:00","4.68 kW"
"2021-09-22 13:00:00","11.3 kW"
"2021-09-22 14:00:00","7.15 kW"
"2021-09-22 15:00:00","2.74 kW"
"2021-09-22 16:00:00","2.13 kW"
"2021-09-22 17:00:00","-236 W"
"2021-09-22 18:00:00","-159 W"
"2021-09-22 19:00:00","-1.07 kW"
"2021-09-22 20:00:00","-5.64 kW"
"2021-09-22 21:00:00","-9.03 kW"
"2021-09-22 22:00:00","-9.39 kW"
"2021-09-22 23:00:00","-9.34 kW"
"2021-09-23 00:00:00","-9.14 kW"
"2021-09-23 01:00:00","-8.94 kW"
"2021-09-23 02:00:00","-8.92 kW"
"2021-09-23 03:00:00","-8.96 kW"
"2021-09-23 04:00:00","-8.90 kW"
"2021-09-23 05:00:00","-9.30 kW"
"2021-09-23 06:00:00","-8.88 kW"
"2021-09-23 07:00:00","-11.4 kW"
"2021-09-23 08:00:00","-12.2 kW"
"2021-09-23 09:00:00","-5.12 kW"
"2021-09-23 10:00:00","-583 mW"
"2021-09-23 11:00:00","2.77 kW"
"2021-09-23 12:00:00","7.67 kW"
"2021-09-23 13:00:00","12.7 kW"
"2021-09-23 14:00:00","10.5 kW"
"2021-09-23 15:00:00","8.98 kW"
"2021-09-23 16:00:00","3.80 kW"
"2021-09-23 17:00:00","26.8 W"
"2021-09-23 18:00:00","-181 W"
"2021-09-23 19:00:00","-2.72 kW"
"2021-09-23 20:00:00","-4.11 kW"
"2021-09-23 21:00:00","-6.32 kW"
"2021-09-23 22:00:00","-9.16 kW"
"2021-09-23 23:00:00","-9.41 kW"
"2021-09-24 00:00:00","-9.31 kW"
"2021-09-24 01:00:00","-9.09 kW"
"2021-09-24 02:00:00","-9.17 kW"
"2021-09-24 03:00:00","-9.11 kW"
"2021-09-24 04:00:00","-9.34 kW"
"2021-09-24 05:00:00","-9.20 kW"
"2021-09-24 06:00:00","-9.14 kW"
"2021-09-24 07:00:00","-11.2 kW"
"2021-09-24 08:00:00","-10.9 kW"
"2021-09-24 09:00:00","-4.93 kW"
"2021-09-24 10:00:00","235 W"
"2021-09-24 11:00:00","801 W"
"2021-09-24 12:00:00","3.64 kW"
"2021-09-24 13:00:00","10.5 kW"
"2021-09-24 14:00:00","9.92 kW"
"2021-09-24 15:00:00","9.58 kW"
"2021-09-24 16:00:00","3.92 kW"
"2021-09-24 17:00:00","670 W"
"2021-09-24 18:00:00","-135 W"
"2021-09-24 19:00:00","-1.62 kW"
"2021-09-24 20:00:00","-4.24 kW"
"2021-09-24 21:00:00","-3.66 kW"
"2021-09-24 22:00:00","-7.45 kW"
"2021-09-24 23:00:00","-9.47 kW"
"2021-09-25 00:00:00","-9.38 kW"
"2021-09-25 01:00:00","-9.43 kW"
"2021-09-25 02:00:00","-9.28 kW"
"2021-09-25 03:00:00","-9.52 kW"
"2021-09-25 04:00:00","-9.39 kW"
"2021-09-25 05:00:00","-9.68 kW"
"2021-09-25 06:00:00","-9.07 kW"
"2021-09-25 07:00:00","-8.54 kW"
"2021-09-25 08:00:00","-5.33 kW"
"2021-09-25 09:00:00","-167 W"
"2021-09-25 10:00:00","1.17 kW"
"2021-09-25 11:00:00","5.00 kW"
"2021-09-25 12:00:00","14.3 kW"
"2021-09-25 13:00:00","19.4 kW"
"2021-09-25 14:00:00","19.2 kW"
"2021-09-25 15:00:00","13.0 kW"
"2021-09-25 16:00:00","5.29 kW"
"2021-09-25 17:00:00","557 W"
"2021-09-25 18:00:00","-104 W"
"2021-09-25 19:00:00","-138 W"
"2021-09-25 20:00:00","-3.33 kW"
"2021-09-25 21:00:00","-4.34 kW"
"2021-09-25 22:00:00","-7.06 kW"
"2021-09-25 23:00:00","-9.63 kW"
"2021-09-26 00:00:00","-9.74 kW"
"2021-09-26 01:00:00","-9.76 kW"
"2021-09-26 02:00:00","-9.54 kW"
"2021-09-26 03:00:00","-9.55 kW"
"2021-09-26 04:00:00","-9.50 kW"
"2021-09-26 05:00:00","-9.74 kW"
"2021-09-26 06:00:00","-9.59 kW"
"2021-09-26 07:00:00","-8.81 kW"
"2021-09-26 08:00:00","-5.04 kW"
"2021-09-26 09:00:00","-3.21 kW"
"2021-09-26 10:00:00","-3.49 kW"
"2021-09-26 11:00:00","-3.27 kW"
"2021-09-26 12:00:00","1.81 kW"
"2021-09-26 13:00:00","5.18 kW"
"2021-09-26 14:00:00","66.0 W"
"2021-09-26 15:00:00","-54.4 W"
"2021-09-26 16:00:00","102 W"
"2021-09-26 17:00:00","-1.48 kW"
"2021-09-26 18:00:00","-5.99 kW"
"2021-09-26 19:00:00","-7.79 kW"
"2021-09-26 20:00:00","-9.58 kW"
"2021-09-26 21:00:00","-9.84 kW"
"2021-09-26 22:00:00","-9.57 kW"
