"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              11/07/2022 12:00 - 11/07/2022 13:00,"BZN|DE-LU","PT60M",380.42,"EUR"
              11/07/2022 13:00 - 11/07/2022 14:00,"BZN|DE-LU","PT60M",369.28,"EUR"
              11/07/2022 14:00 - 11/07/2022 15:00,"BZN|DE-LU","PT60M",333.76,"EUR"
              11/07/2022 15:00 - 11/07/2022 16:00,"BZN|DE-LU","PT60M",332.61,"EUR"
              11/07/2022 16:00 - 11/07/2022 17:00,"BZN|DE-LU","PT60M",319.82,"EUR"
              11/07/2022 17:00 - 11/07/2022 18:00,"BZN|DE-LU","PT60M",375.48,"EUR"
              11/07/2022 18:00 - 11/07/2022 19:00,"BZN|DE-LU","PT60M",405.00,"EUR"
              11/07/2022 19:00 - 11/07/2022 20:00,"BZN|DE-LU","PT60M",458.03,"EUR"
              11/07/2022 20:00 - 11/07/2022 21:00,"BZN|DE-LU","PT60M",469.90,"EUR"
              11/07/2022 21:00 - 11/07/2022 22:00,"BZN|DE-LU","PT60M",452.12,"EUR"
              11/07/2022 22:00 - 11/07/2022 23:00,"BZN|DE-LU","PT60M",450.05,"EUR"
              11/07/2022 23:00 - 12/07/2022 00:00,"BZN|DE-LU","PT60M",419.15,"EUR"
              12/07/2022 00:00 - 12/07/2022 01:00,"BZN|DE-LU","PT60M",395.49,"EUR"
              12/07/2022 01:00 - 12/07/2022 02:00,"BZN|DE-LU","PT60M",349.57,"EUR"
              12/07/2022 02:00 - 12/07/2022 03:00,"BZN|DE-LU","PT60M",330.04,"EUR"
              12/07/2022 03:00 - 12/07/2022 04:00,"BZN|DE-LU","PT60M",331.50,"EUR"
              12/07/2022 04:00 - 12/07/2022 05:00,"BZN|DE-LU","PT60M",334.34,"EUR"
              12/07/2022 05:00 - 12/07/2022 06:00,"BZN|DE-LU","PT60M",362.10,"EUR"
              12/07/2022 06:00 - 12/07/2022 07:00,"BZN|DE-LU","PT60M",419.64,"EUR"
