"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              09/05/2022 04:00 - 09/05/2022 05:00,"BZN|DE-LU","PT60M",193.68,"EUR"
              09/05/2022 05:00 - 09/05/2022 06:00,"BZN|DE-LU","PT60M",210.72,"EUR"
              09/05/2022 06:00 - 09/05/2022 07:00,"BZN|DE-LU","PT60M",240.00,"EUR"
              09/05/2022 07:00 - 09/05/2022 08:00,"BZN|DE-LU","PT60M",256.23,"EUR"
              09/05/2022 08:00 - 09/05/2022 09:00,"BZN|DE-LU","PT60M",250.04,"EUR"
              09/05/2022 09:00 - 09/05/2022 10:00,"BZN|DE-LU","PT60M",219.21,"EUR"
              09/05/2022 10:00 - 09/05/2022 11:00,"BZN|DE-LU","PT60M",199.95,"EUR"
              09/05/2022 11:00 - 09/05/2022 12:00,"BZN|DE-LU","PT60M",194.39,"EUR"
              09/05/2022 12:00 - 09/05/2022 13:00,"BZN|DE-LU","PT60M",185.51,"EUR"
              09/05/2022 13:00 - 09/05/2022 14:00,"BZN|DE-LU","PT60M",183.46,"EUR"
              09/05/2022 14:00 - 09/05/2022 15:00,"BZN|DE-LU","PT60M",179.55,"EUR"
              09/05/2022 15:00 - 09/05/2022 16:00,"BZN|DE-LU","PT60M",183.94,"EUR"
              09/05/2022 16:00 - 09/05/2022 17:00,"BZN|DE-LU","PT60M",190.63,"EUR"
              09/05/2022 17:00 - 09/05/2022 18:00,"BZN|DE-LU","PT60M",220.93,"EUR"
              09/05/2022 18:00 - 09/05/2022 19:00,"BZN|DE-LU","PT60M",247.97,"EUR"
              09/05/2022 19:00 - 09/05/2022 20:00,"BZN|DE-LU","PT60M",280.00,"EUR"
              09/05/2022 20:00 - 09/05/2022 21:00,"BZN|DE-LU","PT60M",280.00,"EUR"
              09/05/2022 21:00 - 09/05/2022 22:00,"BZN|DE-LU","PT60M",250.44,"EUR"
              09/05/2022 22:00 - 09/05/2022 23:00,"BZN|DE-LU","PT60M",237.08,"EUR"
              09/05/2022 23:00 - 10/05/2022 00:00,"BZN|DE-LU","PT60M",204.25,"EUR"
              10/05/2022 00:00 - 10/05/2022 01:00,"BZN|DE-LU","PT60M",216.41,"EUR"
              10/05/2022 01:00 - 10/05/2022 02:00,"BZN|DE-LU","PT60M",205.61,"EUR"
              10/05/2022 02:00 - 10/05/2022 03:00,"BZN|DE-LU","PT60M",184.72,"EUR"
              10/05/2022 03:00 - 10/05/2022 04:00,"BZN|DE-LU","PT60M",169.98,"EUR"
              10/05/2022 04:00 - 10/05/2022 05:00,"BZN|DE-LU","PT60M",167.73,"EUR"
              10/05/2022 05:00 - 10/05/2022 06:00,"BZN|DE-LU","PT60M",187.06,"EUR"
              10/05/2022 06:00 - 10/05/2022 07:00,"BZN|DE-LU","PT60M",224.08,"EUR"
              10/05/2022 07:00 - 10/05/2022 08:00,"BZN|DE-LU","PT60M",237.95,"EUR"
              10/05/2022 08:00 - 10/05/2022 09:00,"BZN|DE-LU","PT60M",232.72,"EUR"
